ID модуля;Авария;Время возникновения;Время решения
1;Мало воды;06-05-2021 16:05:27;06-05-2021 16:05:50
1;Избыток воды;06-05-2021 16:05:27;06-05-2021 16:05:50
1;Высокая температура;06-05-2021 16:05:13;06-05-2021 16:05:29
1;Высокая температура;06-05-2021 17:05:14;06-05-2021 17:05:51
1;Мало воды;06-05-2021 17:05:14;06-05-2021 17:05:51
1;Избыток воды;06-05-2021 17:05:14;06-05-2021 17:05:51
1;Высокая температура;06-05-2021 17:05:24;06-05-2021 17:05:52
1;Мало воды;06-05-2021 17:05:24;06-05-2021 17:05:52
1;Избыток воды;06-05-2021 17:05:24;06-05-2021 17:05:52
3;Высокая температура;16-05-2021 16:05:49;
3;Мало воды;16-05-2021 16:05:49;
3;Избыток воды;16-05-2021 16:05:49;